id,created_at,source,original_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place
1.11801E+18,Tue Apr 16 04:27:15 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@smitabarooah @ModiOnceMore This video show how #Modi #Government did #effective #works in all the fields.,en,0,0,wanderlust_hims,,"Modi, Government, effective, works","smitabarooah, ModiOnceMore",Twitter
1.11801E+18,Tue Apr 16 04:27:08 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @NandiniOza: A day after his sister n father joined the #Congress, @imjadeja extends support to the #BJP . Tags @narendramodi in his #Tw…",en,0,1,RajeevS27545206,,"Congress, BJP","NandiniOza, imjadeja, narendramodi","Delhi, India"
1.11801E+18,Tue Apr 16 04:26:58 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @dpradhanbjp: Glimpses of the massive gathering and support for #BJP during the #VijaySankalpYatra at Bhubaneswar North Constituency. Ca…,en,0,866,Anushka97223405,,"BJP, VijaySankalpYatra",dpradhanbjp,
1.11801E+18,Tue Apr 16 04:26:52 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @JhaSanjay: Dear @ArvindKejriwal Ji: Let’s do a clean sweep of Delhi together. The defeat of the #BJP is crucial to Delhi’s independent…,en,0,648,YasminKidwai,,BJP,"JhaSanjay, ArvindKejriwal",New Delhi
1.11801E+18,Tue Apr 16 04:26:39 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@kavitavkhanna @VinodKhanna @BJP4India @PMOIndia @narendramodi @BJPPunjab Why delay in announcing #BJP candidate fo… https://t.co/OBJ4Hpp1Yh,en,0,0,vineetypmehta,,BJP,"kavitavkhanna, VinodKhanna, BJP4India, PMOIndia, narendramodi, BJPPunjab",India
1.11801E+18,Tue Apr 16 04:26:37 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @drshamamohd: Why has EC not taken action against PM #Modi &amp; @AmitShah for violating code of conduct?

Both are serial offenders who hav…",en,0,37,praveenr9632,,Modi,"drshamamohd, AmitShah","Bengaluru, India"
1.11801E+18,Tue Apr 16 04:26:33 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @satishacharya: Vote for! Cartoon for @AmarUjalaNews #2019Elections  #Modi #Pulwama https://t.co/zCdVrq7ogV,en,0,38,kalmanacpk,FALSE,"2019Elections, Modi, Pulwama","satishacharya, AmarUjalaNews",
1.11801E+18,Tue Apr 16 04:26:30 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @sachinsingh1010: 75 year old Govindraj killed for praising #Modi,incident took place near a Orthanadu village in Tanjore, #TamilNadu
#G…",en,0,5638,imabhishek_21,,"Modi, TamilNadu",sachinsingh1010,mumbai
1.11801E+18,Tue Apr 16 04:26:03 +0000 2019,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",#Modi got made 14000 houses for #SriLanka's Tamil people devastated by the war. #Aljazeera channel has covered this… https://t.co/76OQE4i4Ru,en,0,0,nareshbehera,FALSE,"Modi, SriLanka, Aljazeera",,"Bhubaneshwar, India"
1.11801E+18,Tue Apr 16 04:26:02 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Raksha_Kumar: Quick question: if #Demonetisation was so successful, why is it not a political issue for the #BJP? Why aren't they going…",en,0,65,DeathEndsFun,,"Demonetisation, BJP",Raksha_Kumar,"Bombay, India"
1.11801E+18,Tue Apr 16 04:26:00 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @InstantKarmaaa: #NaMo was the only Sanghi earlier. #India was dangerous 4 Muslims.

After praising #Modi, even Trump, Putin, Bibi, Merk…",en,0,80,konguregion,,"NaMo, India, Modi",InstantKarmaaa,"tamilnadu, India"
1.11801E+18,Tue Apr 16 04:25:54 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @JhaSanjay: Dear @ArvindKejriwal Ji: Let’s do a clean sweep of Delhi together. The defeat of the #BJP is crucial to Delhi’s independent…,en,0,648,Suchitr85160327,,BJP,"JhaSanjay, ArvindKejriwal","New Delhi, India"
1.11801E+18,Tue Apr 16 04:25:51 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MODIfiedTamilan: சூப்பர் பிரதமர் மோடி, மதுரை மக்கள் கருத்து😀👏👏

#Madurai people's are prasing our PM
#Modi ji for bringing up #AIIMS to…",en,0,91,sreedeepak137,,"Madurai, Modi, AIIMS",MODIfiedTamilan,thovalai
1.11801E+18,Tue Apr 16 04:25:44 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @dpradhanbjp: Glimpses of the massive gathering and support for #BJP during the #VijaySankalpYatra at Bhubaneswar North Constituency. Ca…,en,0,866,Lipi42101427,,"BJP, VijaySankalpYatra",dpradhanbjp,
1.11801E+18,Tue Apr 16 04:25:33 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @drshamamohd: Why has EC not taken action against PM #Modi &amp; @AmitShah for violating code of conduct?

Both are serial offenders who hav…",en,0,37,chunmunranjan,,Modi,"drshamamohd, AmitShah"," BINDEKHALPUR,INDIA"
1.11801E+18,Tue Apr 16 04:25:29 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ShanMehra2017: @beindiya @midhatkidwai What's the size of sample . Where exactly it was done . If the survey was done in tier 2 &amp; 3 cit…,en,0,5,518_2100,,,"ShanMehra2017, beindiya, midhatkidwai","Vancouver, British Columbia"
1.11801E+18,Tue Apr 16 04:25:15 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @dpradhanbjp: A #BJP Government in the state will ensure rail connectivity to all the 30 districts of the state. @BJP4Odisha Govt will a…,en,0,652,Roja52342511,,BJP,"dpradhanbjp, BJP4Odisha",
1.11801E+18,Tue Apr 16 04:25:09 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @sachinsingh1010: 75 year old Govindraj killed for praising #Modi,incident took place near a Orthanadu village in Tanjore, #TamilNadu
#G…",en,0,5638,rkoraj87,,"Modi, TamilNadu",sachinsingh1010,"Raipur, India"
1.11801E+18,Tue Apr 16 04:25:07 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @drshamamohd: India faces a shortage of 6 lakh doctors &amp; 20 lakh nurses.

5.7cr people are pushed into poverty every year due to health…",en,0,993,BharatINC_,,,drshamamohd,Somewhere on the Earth
1.11801E+18,Tue Apr 16 04:24:58 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MODIfiedTamilan: சூப்பர் பிரதமர் மோடி, மதுரை மக்கள் கருத்து😀👏👏

#Madurai people's are prasing our PM
#Modi ji for bringing up #AIIMS to…",en,0,91,yuvarajchml,,"Madurai, Modi, AIIMS",MODIfiedTamilan,"Erode, India"
1.11801E+18,Tue Apr 16 04:24:28 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @sachinsingh1010: 75 year old Govindraj killed for praising #Modi,incident took place near a Orthanadu village in Tanjore, #TamilNadu
#G…",en,0,5638,NarendraLSingh,,"Modi, TamilNadu",sachinsingh1010,India
1.11801E+18,Tue Apr 16 04:23:58 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @sbajpai2806: The real face of Congress....
Cong workers get violent and beat up #BJP supporters as they chant 'Modi, Modi', during the…",en,0,2,NarendraLSingh,,BJP,sbajpai2806,India
1.11801E+18,Tue Apr 16 04:23:56 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @JhaSanjay: Dear @ArvindKejriwal Ji: Let’s do a clean sweep of Delhi together. The defeat of the #BJP is crucial to Delhi’s independent…,en,0,280,JahagirdarSyed,,BJP,"JhaSanjay, ArvindKejriwal","Karnataka, India"
1.11801E+18,Tue Apr 16 04:23:55 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @dpradhanbjp: Glimpses of the massive gathering and support for #BJP during the #VijaySankalpYatra at Bhubaneswar North Constituency. Ca…,en,0,0,Roja52342511,,"BJP, VijaySankalpYatra",dpradhanbjp,
1.11801E+18,Tue Apr 16 04:23:51 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Complaint filed against #BJP TN state President @DrTamilisaiBJP for spreading false news and creating enmity betwee… https://t.co/phYaXBqhOc,en,2,0,smitha_tk,FALSE,BJP,DrTamilisaiBJP,"Chennai, India"
1.11801E+18,Tue Apr 16 04:23:46 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @HAL_India: Why is #Modi not asking for votes in the name of the following?

1. Make in India
2. Digital India
3. Skill India
4. Jan Dha…",en,0,1855,manianrvs,,Modi,HAL_India,Pune India
1.11801E+18,Tue Apr 16 04:23:35 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @drshamamohd: Why has EC not taken action against PM #Modi &amp; @AmitShah for violating code of conduct?

Both are serial offenders who hav…",en,0,37,sibi999,,Modi,"drshamamohd, AmitShah",
1.11801E+18,Tue Apr 16 04:23:18 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @ZeeNews: . @imjadeja father and sister joined the #Congress, days after his wife joined the #BJP.

https://t.co/br5SSQvSxP",en,0,32,IVNTalks,FALSE,"Congress, BJP","ZeeNews, imjadeja",
1.11801E+18,Tue Apr 16 04:23:16 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @drshamamohd: India faces a shortage of 6 lakh doctors &amp; 20 lakh nurses.

5.7cr people are pushed into poverty every year due to health…",en,0,993,SnehlataSocial,,,drshamamohd,"District-Kanpur Dehat ,Parliament-Kannauj"
