id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1118379504014188544,Wed Apr 17 05:03:46 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @iyer_rn: @kanimozhi @keralaCastro @anilindian @Kuvalayamala @HKupdate @girishalva @chathootti @prafullaketkar @excomradekerala @Prof_Ha…,RT iyer_rn kanimozhi keralaCastro anilindian Kuvalayamala HKupdate girishalva chathootti prafullaketkar excomradekerala Prof_Ha…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,14,sevakeralam,,,"iyer_rn, kanimozhi, keralaCastro, anilindian, Kuvalayamala, HKupdate, girishalva, chathootti, prafullaketkar, excomradekerala","Trissur, India",
1118379416520994817,Wed Apr 17 05:03:26 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#LokSabhaElections2019 | @RahulGandhi proceeds to the 1000-year-old Vishnu temple. Politicians mostly visit temples… https://t.co/56sUYhc69f,LokSabhaElections2019 RahulGandhi proceeds 1000-year-old Vishnu temple Politicians mostly visit temples… https //t.co/56sUYhc69f,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,en,0,0,rahulvats199,False,LokSabhaElections2019,RahulGandhi,"New Delhi, Delhi",
1118379225575251968,Wed Apr 17 05:02:40 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @prashantrshukla: Unlimited fun by #RahulGandhi...

#PhirEkBaarModiSarkar #BharatModiKeSaath #PagalHaiKya #IndiaElections2019 #BJP https…",RT prashantrshukla Unlimited fun RahulGandhi ... PhirEkBaarModiSarkar BharatModiKeSaath PagalHaiKya IndiaElections2019 BJP https…,"Sentiment(polarity=0.3, subjectivity=0.2)",0.3,0.2,en,0,1,KarukondaC,,"RahulGandhi, PhirEkBaarModiSarkar, BharatModiKeSaath, PagalHaiKya, IndiaElections2019, BJP",prashantrshukla,"Vishakhapatnam, India",
1118379095736426496,Wed Apr 17 05:02:09 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @utkarsh_aanand: #Congress Govt in #Rajasthan has removed from its panel the lawyer who filed the criminal contempt case against #RahulG…,RT utkarsh_aanand Congress Govt Rajasthan removed panel lawyer filed criminal contempt case RahulG…,"Sentiment(polarity=-0.4, subjectivity=0.55)",-0.4,0.55,en,0,414,sajuvkurup,,"Congress, Rajasthan",utkarsh_aanand,,
1118378824574689281,Wed Apr 17 05:01:04 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#RahulGandhi going to a temple in #Wayanad in traditional attire #LokSabhaElections2019 https://t.co/iS55HbCooB,RahulGandhi going temple Wayanad traditional attire LokSabhaElections2019 https //t.co/iS55HbCooB,"Sentiment(polarity=0.0, subjectivity=0.75)",0.0,0.75,en,0,0,vikram140gulati,False,"RahulGandhi, Wayanad, LokSabhaElections2019",,"New Delhi, India",
1118378168602243072,Wed Apr 17 04:58:28 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",No caption #ArvindKejriwal #RahulGandhi #SheelaDixit https://t.co/AQrqhMMMWw,No caption ArvindKejriwal RahulGandhi SheelaDixit https //t.co/AQrqhMMMWw,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,pankajsaxena333,False,"ArvindKejriwal, RahulGandhi, SheelaDixit",,Delhi,
1118377978839425025,Wed Apr 17 04:57:43 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @utkarsh_aanand: #Congress Govt in #Rajasthan has removed from its panel the lawyer who filed the criminal contempt case against #RahulG…,RT utkarsh_aanand Congress Govt Rajasthan removed panel lawyer filed criminal contempt case RahulG…,"Sentiment(polarity=-0.4, subjectivity=0.55)",-0.4,0.55,en,0,414,manoj_voice,,"Congress, Rajasthan",utkarsh_aanand,"Jaipur, India",
1118377343234596865,Wed Apr 17 04:55:11 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @pankaj_shankar: PM Narendra #Modi failed to fulfil promises: @RahulGandhi #RahulGandhi  The Economic Times https://t.co/K9HAVa0B7L,RT pankaj_shankar PM Narendra Modi failed fulfil promises RahulGandhi RahulGandhi The Economic Times https //t.co/K9HAVa0B7L,"Sentiment(polarity=-0.15, subjectivity=0.25)",-0.15,0.25,en,0,5,AnwarAl24169034,False,"Modi, RahulGandhi","pankaj_shankar, RahulGandhi",,
1118376568781406214,Wed Apr 17 04:52:07 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MahaBharat2019: #BharatBoleModiFirSe

Why #RahulGandhi often raise his right leg?

Because he learnt how to Pee from his dog Pidi.

#Ba…",RT MahaBharat2019 BharatBoleModiFirSe Why RahulGandhi often raise right leg Because learnt Pee dog Pidi Ba…,"Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)",0.2857142857142857,0.5357142857142857,en,0,47,MahaBharat2019,,"BharatBoleModiFirSe, RahulGandhi",MahaBharat2019,भारत,
1118376546241318912,Wed Apr 17 04:52:01 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MahaBharat2019: #BharatBoleModiFirSe

Why #RahulGandhi often raise his right leg?

Because he learnt how to Pee from his dog Pidi.

#Ba…",RT MahaBharat2019 BharatBoleModiFirSe Why RahulGandhi often raise right leg Because learnt Pee dog Pidi Ba…,"Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)",0.2857142857142857,0.5357142857142857,en,0,47,swimmer_singh,,"BharatBoleModiFirSe, RahulGandhi",MahaBharat2019,"Indore, India",
1118376316301205510,Wed Apr 17 04:51:06 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@t_d_h_nair @paranjoygt Can you give the proof as to how many thousand crore has been spent on #Modi advertisements… https://t.co/VMbs0lLnql,t_d_h_nair paranjoygt Can give proof many thousand crore spent Modi advertisements… https //t.co/VMbs0lLnql,"Sentiment(polarity=0.2, subjectivity=0.3)",0.2,0.3,en,0,0,sarvatrra,,Modi,"t_d_h_nair, paranjoygt",,
1118375469454364674,Wed Apr 17 04:47:44 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @drkkr: When #Elections2019 seems to be all of hate, anger, venom, power play. I liked this one between two interesting politicians : #S…",RT drkkr When Elections2019 seems hate anger venom power play I liked one two interesting politicians S…,"Sentiment(polarity=-0.1, subjectivity=0.6000000000000001)",-0.1,0.6000000000000001,en,0,1,kowshikkkk,,Elections2019,drkkr,kalipalayam,
1118375155728822273,Wed Apr 17 04:46:30 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @SijuMoothedath: The toughest job in world is that of #RahulGandhi's security officers.They have to stand beside him facing the camera,…",RT SijuMoothedath The toughest job world RahulGandhi 's security officers.They stand beside facing camera …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,4,KanotraHarish,,RahulGandhi,SijuMoothedath,,
1118374928347275264,Wed Apr 17 04:45:35 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#RahulGandhi is humble man not like modi https://t.co/RhXFzm4d30,RahulGandhi humble man like modi https //t.co/RhXFzm4d30,"Sentiment(polarity=-0.2, subjectivity=0.4)",-0.2,0.4,en,1,0,shaikasif29,False,RahulGandhi,,India,
1118374443850588163,Wed Apr 17 04:43:40 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Unlimited fun by #RahulGandhi...

#PhirEkBaarModiSarkar #BharatModiKeSaath #PagalHaiKya #IndiaElections2019 #BJP https://t.co/Az4EKoCmfC",Unlimited fun RahulGandhi ... PhirEkBaarModiSarkar BharatModiKeSaath PagalHaiKya IndiaElections2019 BJP https //t.co/Az4EKoCmfC,"Sentiment(polarity=0.3, subjectivity=0.2)",0.3,0.2,en,0,1,prashantrshukla,False,"RahulGandhi, PhirEkBaarModiSarkar, BharatModiKeSaath, PagalHaiKya, IndiaElections2019, BJP",,,
1118373383211769860,Wed Apr 17 04:39:27 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@narendramodi #RahulGandhi and his #Translator 

Best comedy every 😂😂😂😂😂

May Lord #Mahavir bless him...… https://t.co/CdDyXrqAp9",narendramodi RahulGandhi Translator Best comedy every 😂😂😂😂😂 May Lord Mahavir bless ... … https //t.co/CdDyXrqAp9,"Sentiment(polarity=1.0, subjectivity=0.3)",1.0,0.3,en,0,0,anita_hemu1982,False,"RahulGandhi, Translator, Mahavir",narendramodi,"Bharuch, Gujarat, India",
1118373340232785921,Wed Apr 17 04:39:17 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@KapilSharmaK9 Your job is under real threat.

I have never witnessed such a great comedian.🙏🙏🙏

@rjraunac… https://t.co/lnfCybuJt5",KapilSharmaK9 Your job real threat I never witnessed great comedian.🙏🙏🙏 rjraunac… https //t.co/lnfCybuJt5,"Sentiment(polarity=0.5, subjectivity=0.525)",0.5,0.525,en,0,0,trolling_daddy,False,,"KapilSharmaK9, rjraunac",10 Janpath,
1118372074328924162,Wed Apr 17 04:34:15 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @pankaj_shankar: PM Narendra #Modi failed to fulfil promises: @RahulGandhi #RahulGandhi  The Economic Times https://t.co/K9HAVa0B7L,RT pankaj_shankar PM Narendra Modi failed fulfil promises RahulGandhi RahulGandhi The Economic Times https //t.co/K9HAVa0B7L,"Sentiment(polarity=-0.15, subjectivity=0.25)",-0.15,0.25,en,0,5,GandhiSonia2013,False,"Modi, RahulGandhi","pankaj_shankar, RahulGandhi","उत्तर प्रदेश, भारत",
1118371324718661646,Wed Apr 17 04:31:16 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#RahulGandhi Mark of a Humane Leader !!

Laugh at himself.. Patient with his colleagues…Humane in approach…unlike o… https://t.co/gN6domhwfe",RahulGandhi Mark Humane Leader Laugh himself.. Patient colleagues…Humane approach…unlike o… https //t.co/gN6domhwfe,"Sentiment(polarity=0.3, subjectivity=0.1)",0.3,0.1,en,0,0,satyapamula,False,RahulGandhi,,"Hyderabad, India",
1118370739332243456,Wed Apr 17 04:28:57 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Rahul’s candidature at Wayanad exposes Communist ‘hypocrisy’: Sitharaman
#RahulGandhi #Wayanad #Communist… https://t.co/NHdGFPKTeu",Rahul ’ candidature Wayanad exposes Communist ‘ hypocrisy ’ Sitharaman RahulGandhi Wayanad Communist… https //t.co/NHdGFPKTeu,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,pennewstweet,False,"RahulGandhi, Wayanad, Communist",,,
1118370404488425472,Wed Apr 17 04:27:37 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @utkarsh_aanand: #Congress Govt in #Rajasthan has removed from its panel the lawyer who filed the criminal contempt case against #RahulG…,RT utkarsh_aanand Congress Govt Rajasthan removed panel lawyer filed criminal contempt case RahulG…,"Sentiment(polarity=-0.4, subjectivity=0.55)",-0.4,0.55,en,0,414,IndiaHunting,,"Congress, Rajasthan",utkarsh_aanand,,
1118369772742299649,Wed Apr 17 04:25:06 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @piyushaggrawal1: Did they only want Muslim votes #shameful #Muslimcard #Indiannationalcongress @sherryontopp @RahulGandhi @asadowaisi @…,RT piyushaggrawal1 Did want Muslim votes shameful Muslimcard Indiannationalcongress sherryontopp RahulGandhi asadowaisi …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,1,piyushaggrawal1,,"shameful, Muslimcard, Indiannationalcongress","piyushaggrawal1, sherryontopp, RahulGandhi, asadowaisi","Lucknow, India",
1118369575727398913,Wed Apr 17 04:24:19 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@RahulGandhi  @OfficeOfRG  @AICCMedia  @INCIndia @WithCongress @INCIndiaLive @MahilaCongress  
Nyay scheme will jum… https://t.co/fvxtV7lmE5",RahulGandhi OfficeOfRG AICCMedia INCIndia WithCongress INCIndiaLive MahilaCongress Nyay scheme jum… https //t.co/fvxtV7lmE5,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,5dariyanews,False,,"RahulGandhi, AICCMedia, INCIndia, WithCongress, INCIndiaLive, MahilaCongress","kharar (S.A.S. Nagar,Mohali)",
1118369559017336835,Wed Apr 17 04:24:15 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @chitraSD: There's a video doing the rounds on social media about #RahulGandhi and his translator in #Kerala. If true, it reminds me of…",RT chitraSD There 's video rounds social media RahulGandhi translator Kerala If true reminds of…,"Sentiment(polarity=0.19166666666666665, subjectivity=0.35833333333333334)",0.19166666666666665,0.35833333333333334,en,0,172,ThakurRajat17,,"RahulGandhi, Kerala",chitraSD,"Muzaffarnagar, India",
