id,clean_text,polarity,place
1118007923458732032,smitabarooah ModiOnceMore This video show Modi Government effective works fields,1,Twitter
1118007893612060672,RT NandiniOza A day sister n father joined Congress imjadeja extends support BJP Tags narendramodi Tw…,0,"Delhi, India"
1118007855020331009,RT dpradhanbjp Glimpses massive gathering support BJP VijaySankalpYatra Bhubaneswar North Constituency Ca…,0,
1118007830320242688,RT JhaSanjay Dear ArvindKejriwal Ji Let ’ clean sweep Delhi together The defeat BJP crucial Delhi ’ independent…,1,New Delhi
1118007773000716288,kavitavkhanna VinodKhanna BJP4India PMOIndia narendramodi BJPPunjab Why delay announcing BJP candidate fo… https //t.co/OBJ4Hpp1Yh,0,India
1118007764851122181,RT drshamamohd Why EC taken action PM Modi amp AmitShah violating code conduct Both serial offenders hav…,1,"Bengaluru, India"
1118007748954861568,RT satishacharya Vote Cartoon AmarUjalaNews 2019Elections Modi Pulwama https //t.co/zCdVrq7ogV,0,
1118007735432298496,RT sachinsingh1010 75 year old Govindraj killed praising Modi incident took place near Orthanadu village Tanjore TamilNadu G…,0,mumbai
1118007621884219392,Modi got made 14000 houses SriLanka 's Tamil people devastated war Aljazeera channel covered this… https //t.co/76OQE4i4Ru,0,"Bhubaneshwar, India"
1118007618172325894,RT Raksha_Kumar Quick question Demonetisation successful political issue BJP Why n't going…,1,"Bombay, India"
1118007612170100741,RT InstantKarmaaa NaMo Sanghi earlier India dangerous 4 Muslims After praising Modi even Trump Putin Bibi Merk…,0,"tamilnadu, India"
1118007585938915328,RT JhaSanjay Dear ArvindKejriwal Ji Let ’ clean sweep Delhi together The defeat BJP crucial Delhi ’ independent…,1,"New Delhi, India"
1118007572999524352,RT MODIfiedTamilan சூப்பர் பிரதமர் மோடி மதுரை மக்கள் கருத்து😀👏👏 Madurai people 's prasing PM Modi ji bringing AIIMS to…,0,thovalai
1118007544193007618,RT dpradhanbjp Glimpses massive gathering support BJP VijaySankalpYatra Bhubaneswar North Constituency Ca…,0,
1118007494922530816,RT drshamamohd Why EC taken action PM Modi amp AmitShah violating code conduct Both serial offenders hav…,1," BINDEKHALPUR,INDIA"
1118007479084863488,RT ShanMehra2017 beindiya midhatkidwai What 's size sample Where exactly done If survey done tier 2 amp 3 cit…,1,"Vancouver, British Columbia"
1118007421564112896,RT dpradhanbjp A BJP Government state ensure rail connectivity 30 districts state BJP4Odisha Govt a…,0,
1118007395098095616,RT sachinsingh1010 75 year old Govindraj killed praising Modi incident took place near Orthanadu village Tanjore TamilNadu G…,0,"Raipur, India"
1118007387770605569,RT drshamamohd India faces shortage 6 lakh doctors amp 20 lakh nurses 5.7cr people pushed poverty every year due health…,0,Somewhere on the Earth
1118007349736640512,RT MODIfiedTamilan சூப்பர் பிரதமர் மோடி மதுரை மக்கள் கருத்து😀👏👏 Madurai people 's prasing PM Modi ji bringing AIIMS to…,0,"Erode, India"
1118007222414520320,RT sachinsingh1010 75 year old Govindraj killed praising Modi incident took place near Orthanadu village Tanjore TamilNadu G…,0,India
1118007099198517248,RT sbajpai2806 The real face Congress ... Cong workers get violent beat BJP supporters chant 'Modi Modi the…,0,India
1118007090214100994,RT JhaSanjay Dear ArvindKejriwal Ji Let ’ clean sweep Delhi together The defeat BJP crucial Delhi ’ independent…,1,"Karnataka, India"
1118007087596834816,RT dpradhanbjp Glimpses massive gathering support BJP VijaySankalpYatra Bhubaneswar North Constituency Ca…,0,
1118007069896892416,Complaint filed BJP TN state President DrTamilisaiBJP spreading false news creating enmity betwee… https //t.co/phYaXBqhOc,0,"Chennai, India"
1118007048099098625,RT HAL_India Why Modi asking votes name following 1 Make India 2 Digital India 3 Skill India 4 Jan Dha…,0,Pune India
1118007000183508993,RT drshamamohd Why EC taken action PM Modi amp AmitShah violating code conduct Both serial offenders hav…,1,
1118006930721501184,RT ZeeNews imjadeja father sister joined Congress days wife joined BJP https //t.co/br5SSQvSxP,0,
1118006923742388224,RT drshamamohd India faces shortage 6 lakh doctors amp 20 lakh nurses 5.7cr people pushed poverty every year due health…,0,"District-Kanpur Dehat ,Parliament-Kannauj"
1118006868956172288,AAP complaints EC 200 voter IDs found dump accuses BJP EC workers AAP EC voterID BJP… https //t.co/Oz2eCeCMbW,0,
1118006854754267136,Jai Hind BJP ModiJi https //t.co/EkcDvvtu2i,0,"Rajasthan, India"
1118006759036030977,RT sanjaybafna Foxconn Technology Group 's Chairman Terry Gou said `` iPhone go Mass Production India year shift…,0,London
1118006713452384256,Duniya endorse karti hai par humare United Opposition ko Hindustan ki growth dikhaiyee nahi deti It 's bad lu… https //t.co/loyLGxEIc7,0,India
1118006562772013057,I Support narendramodi EkBaarPhirModiSarkar Modi Jai Hind🇮🇳 https //t.co/AwWT5lj8cS,0,mumbai
1118006520589901824,RT Chowkidarera I hv offered narendramodi ji devote time election resigning job See greatness PM accepted it…,0,
1118006469255806977,RT JhaSanjay Dear ArvindKejriwal Ji Let ’ clean sweep Delhi together The defeat BJP crucial Delhi ’ independent…,1,
1118006450788298753,RT sachinsingh1010 75 year old Govindraj killed praising Modi incident took place near Orthanadu village Tanjore TamilNadu G…,0,Madhya pradesh
1118006419092058112,RT sachinsingh1010 75 year old Govindraj killed praising Modi incident took place near Orthanadu village Tanjore TamilNadu G…,0,United States
1118006376771522560,RT sachinsingh1010 75 year old Govindraj killed praising Modi incident took place near Orthanadu village Tanjore TamilNadu G…,0,"Pithoragarh, India"
1118006298463866886,RT ThAlkaSingh 75 year old Govindraj killed praising Modi incident took place near Orthanadu village Tanjore TamilNadu Govin…,0,"Tamil Nadu, India"
1118006282617643013,RT satishacharya Vote Cartoon AmarUjalaNews 2019Elections Modi Pulwama https //t.co/zCdVrq7ogV,0, uppalli..
1118006232013402112,Need re-poll 464 booths West Tripura says CPI M EC poll booths WestTripura CPIM EC… https //t.co/3vuMEaSIJE,0,
1118006220680355840,RT waglenikhil Ground reports first phase LS election make BJP jittery Advantage opposition In Suicide belt Vidarbha BJP w…,1,Yokohama
1118006198505107456,RT 143Saffron If old man killed praising Modi mob-lynching If one killed mob right action it…,1,"Rajnandgaon, India"
1118006046520250368,RT Hariindic AIADMK BJP PMK DMDK TMC PT PNT ++ Massive response people TamilNadu Modi wave shown ma…,0,
1118005994963922944,RT sachinsingh1010 75 year old Govindraj killed praising Modi incident took place near Orthanadu village Tanjore TamilNadu G…,0,"Bengaluru, India"
1118005979516293120,RT sachinsingh1010 75 year old Govindraj killed praising Modi incident took place near Orthanadu village Tanjore TamilNadu G…,0,
1118005944452034561,There CIVIL WAR 2019 2019 INDIAN ANTI-RESERVATION PROTESTS A MAKE INDIA INITIATIVE Swamy39… https //t.co/4fa1I2861U,0,Chennai
1118005857457823745,BJP supporter TVMohandasPai supports INCIndia candidate HariPrasad4BangaloreSouth BPAC https //t.co/xktxQL9dGV,0,
1118005724380975105,RT TrueNewsBengal FakeNews Alert BJP uses pic Jharkhand portray communal disharmony Bengal Read gt gt https //t.co/eZiWT9iN…,0,
1118005717321936897,Payal_Rohatgi This B C grade actress stoop lower grade earn money BJP using people t… https //t.co/5MEfVc3xQr,0,"New Delhi, India"
1118005700628631553,RT drshamamohd Why EC taken action PM Modi amp AmitShah violating code conduct Both serial offenders hav…,1,"Jaipur, India"
1118005662921916416,EnnaSadaf_Ali They rubbish. BJP,0,"Okara,Pakistan."
1118005641740804101,Ours fears unfounded ... .. BJP trying hard rig Elections https //t.co/Poa7mVKPrI,0,India
1118005626204909569,RT anisaz9_basit Why PraveenTogadia furious NarendraModi calls Modi 's bluff terms 'Vada Khilafi Ka Mughal-e-Azam…,0,
1118005618424594432,RT Welfarepartyker Flush modi bjp LokSabhaElections2019 https //t.co/mO7Xniwdkm,0,"Kerala, India"
1118005591547498498,RT drshamamohd Why EC taken action PM Modi amp AmitShah violating code conduct Both serial offenders hav…,1,
1118005589634895872,RT drshamamohd Why EC taken action PM Modi amp AmitShah violating code conduct Both serial offenders hav…,1,"Ahmadabad,Gujarat,India"
1118005558835945472,RT JhaSanjay Dear ArvindKejriwal Ji Let ’ clean sweep Delhi together The defeat BJP crucial Delhi ’ independent…,1,Delhi
1118005544621498368,RT drshamamohd Why EC taken action PM Modi amp AmitShah violating code conduct Both serial offenders hav…,1,India
1118005514317828097,RT sachinsingh1010 75 year old Govindraj killed praising Modi incident took place near Orthanadu village Tanjore TamilNadu G…,0,"Mumbai, India"
1118005509116706817,RT NH_India The Congress -JD S combine defeat BJP Karnataka cadres jell one another LokSabhaElections2019…,0,
1118005467559542784,RT ZeeNews imjadeja father sister joined Congress days wife joined BJP https //t.co/br5SSQvSxP,0,
1118005446567063552,RT NH_India The Congress -JD S combine defeat BJP Karnataka cadres jell one another LokSabhaElections2019…,0,"New Delhi, India"
1118005439797583877,RT visrane The meeting Nagvem lively I assured work towards JobGeneration got g…,1,India
1118005378623520768,RT satyakumar_y Few glimpses today 's session presided Hon'ble Min External Affairs Smt SushmaSwaraj ji Lively discussion w…,0,vijayawada
1118005368041476096,htTweets priyankagandhi BJP ca n't win election without talk Pakistan Because Nothing India..,1,
1118005318573670400,RT firstpost Fielding Bhojpuri 'star like RaviKishan place huge Bhojpuri-speaking population less safe…,1,"New Delhi, India"
1118005252375154688,RT drshamamohd India faces shortage 6 lakh doctors amp 20 lakh nurses 5.7cr people pushed poverty every year due health…,0,
1118005247312404480,dhume BDUTT It take long you/ilks understand venom spewing known media folks that… https //t.co/WWpCd8bf29,0,
1118005168958623744,RT sachinsingh1010 75 year old Govindraj killed praising Modi incident took place near Orthanadu village Tanjore TamilNadu G…,0,Chennai
1118005165334810624,BDUTT washingtonpost Thanx supporting Modi ... I referring records supporting candidates… https //t.co/E5n96kN9jG,1,
1118005079217336320,vishal98865 long list watch faces modi ji sworn,0,"Ambernath,india"
1118004852183814144,RT waglenikhil Ground reports first phase LS election make BJP jittery Advantage opposition In Suicide belt Vidarbha BJP w…,1,bangalore
1118004836576849921,RT JhaSanjay Dear ArvindKejriwal Ji Let ’ clean sweep Delhi together The defeat BJP crucial Delhi ’ independent…,1,
1118004824480423936,RT MODIfiedTamilan சூப்பர் பிரதமர் மோடி மதுரை மக்கள் கருத்து😀👏👏 Madurai people 's prasing PM Modi ji bringing AIIMS to…,0,
1118004808458194944,RT HAL_India Why Modi asking votes name following 1 Make India 2 Digital India 3 Skill India 4 Jan Dha…,0,
1118004783468539905,RT ZeeNews imjadeja father sister joined Congress days wife joined BJP https //t.co/br5SSQvSxP,0,
1118004754422984705,RT drshamamohd Why EC taken action PM Modi amp AmitShah violating code conduct Both serial offenders hav…,1,"Adilabad, India"
