id,clean_text,polarity,place
1.11801E+18,INCMaharashtra President Rahul Gandhi addresses public meeting Nanded Maharashtra LIVE … https //t.co/CwmOLFn9jV,1,"Hyderabad, India"
1.11801E+18,RT VakilBharati Ra_Bies New verb introduced English based personality traits RahulGandhi It 's called 'Rahulled ve…,1,"Kanpur, India"
1.11801E+18,akhileshsharma1 ModiBharosa RahulGandhi thinks law What arrogance People wake Teach the… https //t.co/OHZbrydRbd,0,Noida
1.118E+18,ShobitArya vinay1011 ShashiTharoor forget RahulGandhi met aling parikar ji wh… https //t.co/cq7H9fMoV7,0,"Ambernath,india"
1.118E+18,Jayaprada abused AzamKhan Pseudo secular leaders MamataOfficial priyankagandhi Supriyasule_… https //t.co/SHMzcVvngY,0,Gurgaon 
1.118E+18,JM_Scindia RajBabbarMP RahulGandhi priyankagandhi OfficeOfRG AICCMedia INCIndia NYAY catalyst g… https //t.co/THB3ZgkwWO,0,"kharar (S.A.S. Nagar,Mohali)"
1.118E+18,RT chitraSD Jogging RahulGandhi ’ memory family friend amp middleman OttavioQuattrocchi amp loot contracts Snamprogett…,0,
1.118E+18,Public ’ hard-earned money goes campaigning PM Rahul Publicmoney campaigning PMModi RahulGandhi BJP… https //t.co/ZmWOStmRUT,0,
1.118E+18,BharatBoleModiFirSe Why RahulGandhi often raise right leg Because learnt Pee dog Pidi.… https //t.co/tJBBlEJUgj,1,"Vidisha, India"
1.118E+18,RT pennewstweet Manufacturing court order new low Rahul Gandhi Jaitley Manufacturing courtorder RahulGandhi ArunJaitley BJP…,1,
1.118E+18,Rahul file explanation SC notice Cong RahulGandhi file explanation SCnotice Congress KapilSibal… https //t.co/cAc4pOwGbk,0,
1.118E+18,Manufacturing court order new low Rahul Gandhi Jaitley Manufacturing courtorder RahulGandhi… https //t.co/PcjPay7zuj,1,
1.118E+18,RT JasumatiPatel Thus SoniaGandhi INCIndia groomed 4 last 49 years PM India one day.. RahulGetsDum…,0,Omnipresence i am OM
1.118E+18,BJP welcomes SC notice Rahul contempt proceedings Rafale BJP welcomes SCnotice RahulGandhi… https //t.co/omPth4PKAX,0,
1.118E+18,Hahha Love betweent AamAadmiParty RahulGandhi ’ INCIndia Your desperate attempts working something… https //t.co/ijut1vo9mP,0,Jammu
1.118E+18,EVM tampering Why Cong assembly polls asks Shah AmitShah Kodinar Gujarat INC… https //t.co/eL3S7kAGS9,0,
1.118E+18,Why r journos getting political matchmaking congress aap Delhi rahulgandhi ArvindKejriwal,0,"New Delhi, Delhi"
1.118E+18,arunjaitley narendramodi_in another airlines workers conteactors go drain banks struggling public money… https //t.co/ezoDnvLhT3,0,India
1.118E+18,RT mohitbharatiya_ No one wants see “ Army Corrupt “ Night King RahulGandhi sit Iron Throne The real Protector N…,0,"Mumbai, India"
1.118E+18,YusufDFI RahulGandhi Rahul Gandhi RahulGandhi n't job So campaigning for… https //t.co/Ln4NDqOBZF,0,"Hyderabad, India"
1.118E+18,RT airnewsalerts BJP president AmitShah says Congress party president RahulGandhi started blaming EVMs sensin…,0,
1.118E+18,RT KalpanaPrasad03 What mean `` पंजीकरण '' By way RahulGandhi thanks message monthly gross salary way…,0,
1.118E+18,RT VakilBharati Ra_Bies New verb introduced English based personality traits RahulGandhi It 's called 'Rahulled ve…,1,Bengaluru (Bangalore)
1.118E+18,bjp RahulGandhi People Tamil Nadu clearly saying ... ... '' Modi made lots problem ... ... ... .. '' ... .. amp th… https //t.co/Jwq9wMBZGk,1,
1.118E+18,Rahul two-day Kerala visit tonight give campaign last boost RahulGandhi RahulForBehtarBharat… https //t.co/BPs8PS0tyi,0,
1.118E+18,As expected Mahagathbandhan Congress started crying EVMControversy It clearly means internal… https //t.co/AlCkhvpIqF,0,
1.118E+18,RT MahaBharat2019 BharatBoleModiFirSe Why RahulGandhi often raise right leg Because learnt Pee dog Pidi Ba…,1,भारत
1.118E+18,Thus Spake ... ThusSpake Quotes FaranaShaikh famousquotes PopeFrancis DonaldTrump SergevLavrov TeresaMay… https //t.co/WlIsoWZcrH,0,
1.118E+18,bjp RahulGandhi What EC good..but would better would taken similar action BJ… https //t.co/caARts7Gzz,1,
1.118E+18,RT who_is_pc Voting RahulGandhi GeneralElections2019 dangerous unprotected sex HIV AyegaTohModiHi,0,Hoon Sukun ki talash me
1.118E+18,SLAM ON YOU RAHUL GANDHI NarendraModi RahulGandhi https //t.co/CCIGgiCuI7,0,Ahemdabad
