id,clean_text,polarity,place
1.11772E+18,RT chitraSD Jogging RahulGandhi ’ memory family friend amp middleman OttavioQuattrocchi amp loot contracts Snamprogett…,0,Madras
1118061974292533249,AAP INC want alliance stop division Anti-Modi votes If bickering ArvindKejriwal and… https //t.co/7melOrEOi1,0,
1117870131969810432,RT pankaj_shankar She priyankagandhi slams Modi nationalistic poll pitch https //t.co/HkgsOP6WVp Download TOI app n…,0,
1.1177E+18,RT airnewsalerts SC says RahulGandhi 's remarks Rafale case verdict `` incorrectly attributed '' apex court directs Congress Pr…,0,New Delhi
1117850484327366656,RT sachinsingh1010 75 year old Govindraj killed praising Modi incident took place near Orthanadu village Tanjore TamilNadu G…,0,New Delhi Varanasi 
1.11797E+18,RT rahulgandhi2020 Rahul Gandhi picks photographer tripped fell Bhubaneswar Airport https //t.co/nptTLx11lu RahulGandhi in…,0,"Raipur, India"
1.1177E+18,ChowkidarPureHain Notice RahulGandhi feather cap Modi People want Modi Country wants Modi.… https //t.co/rVGFnpqavA,1,ashokaushal@gmail.com
1117866268881633285,RT sachinsingh1010 75 year old Govindraj killed praising Modi incident took place near Orthanadu village Tanjore TamilNadu G…,0,
1118231068161667072,RT utkarsh_aanand Congress Govt Rajasthan removed panel lawyer filed criminal contempt case RahulG…,0,
1117850879682473984,RT JhaSanjay Dear ArvindKejriwal Ji Let ’ clean sweep Delhi together The defeat BJP crucial Delhi ’ independent…,1,
1.11781E+18,Letting INC win like handing key thief After 5 years corruption poverty would rise t… https //t.co/haCzQWKk1v,1,"Trivandrum, India"
1118301209327128576,RT utkarsh_aanand Congress Govt Rajasthan removed panel lawyer filed criminal contempt case RahulG…,0,
1118172093076529152,RT MahaBharat2019 BharatBoleModiFirSe Why RahulGandhi often raise right leg Because learnt Pee dog Pidi Ba…,1,भारत
1117844367866253312,RT GajananKirtikar Campaign rally Dindoshi Vidhansabha Constituency got massive response local citizens Mahayuti Karyakarta…,0,"Thane, Maharashtra, India"
1.11784E+18,RT Brands2life_in CAST YOUR VOTE NOT VOTE YOUR CASTE Vote matters Have vision make decision voteindia castvote…,0,New Delhi
1.11787E+18,RahulGetsDumped RahulGandhi ArnabGoswami Mr Rahul Gandhi whole gangs possible positive campaign Modi becomes PM,1,
1117992765902729217,RT varnishant BanAzamKhan Se pehle BanBJP For insulting women India BJP calls RahulGandhi M rchod Insulting women Modi ka…,0,"नई दिल्ली, भारत"
1.11777E+18,All channels want justice Jayaprada Good But Bjp man Abusing Soniagandhi Is worth raise… https //t.co/3nPNMQiiZP,1,New delhi Mumbai via VARANASI 
1.11771E+18,RT DharmaMal NOTA First All parties bring Men 's Commission India brothers amp sisters n't vote NOTA vote party wh…,1,
1118188656748040192,RT INCGujarat WATCH LIVE Congress President RahulGandhi addresses public meeting Pathanapuram Kerala VaravayiRahulGandhi https …,1,India
1118256863735353345,RT Dhaval_BJP Ultimate Comedy 😀😀😀😀 Enjoy RahulGandhi RahulGetsDumped https //t.co/objjcFdtfg,1,"Mumbai, Maharashtra"
1.11783E+18,RT utkarsh_aanand SupremeCourt order RahulGandhi It important directive added `` No views observations findings sh…,1,Chennai
1.11772E+18,RT chitraSD Jogging RahulGandhi ’ memory family friend amp middleman OttavioQuattrocchi amp loot contracts Snamprogett…,0,MOR
1.11784E+18,RT AskTamal RahulGandhi received ₹50 crore agustawestland deal ED Now JhaSanjay speak report ModiAgainSaysIndia…,0,India
1117843511812841472,RT Heena78440171 I hate politics But love Modi jii❤❤,0,Bharat
1.11786E+18,ahmedpatel You r treasure party INC take bold decision declare 7 seats Delhi You Cen… https //t.co/lXzOriAnBz,1,"New Delhi, India"
1117967513361338368,RT JhaSanjay Dear ArvindKejriwal Ji Let ’ clean sweep Delhi together The defeat BJP crucial Delhi ’ independent…,1,
1117842860345192448,RT GajananKirtikar Schedule tomorrow 's campaigning program held Jogeshwari assembly morning Jahir Sabha Shivsena Party…,0,"Pune, India"
1.11771E+18,I trying avoid spoilers So.. This Morning I got Night GameofThrones BJP RahulGandhi,0,
1.11779E+18,Congress helping BJP dividing anti-Modi votes Kejriwal Rahul Indiablooms First Portal Digital News Ma… https //t.co/1SrJEyIJQv,1,India
1.11774E+18,RT ashishdua_INC MNREGA great concept DrManmohanSingh SoniaGandhi ji alleviate poverty engage unemployed nation build…,1,"Mumbai, India"
1.11772E+18,chawkidarchorhai 😂 proved ... india news bank inc https //t.co/Uz6TiTb4fM,0,N 26°46' 0'' / E 80°54' 0''
1117957870165872641,RT JhaSanjay Dear ArvindKejriwal Ji Let ’ clean sweep Delhi together The defeat BJP crucial Delhi ’ independent…,1,"Patna, Bihar"
1118001733094051840,RT mlmwalways Fate TAMILNADU Who winning TAMILNADU 2019 Change Vs Unchanged New Vs Old LokSabhaElections2019 Electio…,1,god given earth 
1118033468158509056,RT PMOIndia_LIVE Swamy39 ITC_SaurabhP RahulGandhi got M.Phil degree 9 months Was course intercourse RahulGand…,0,
1.11781E+18,RT abpnewstv `` You helping BJP '' ArvindKejriwal 's riposte RahulGandhi pre-poll pact Read https //t.co/INdh36JlPV https…,0,"Lucknow, India"
1117859955384541195,RT JhaSanjay Dear ArvindKejriwal Ji Let ’ clean sweep Delhi together The defeat BJP crucial Delhi ’ independent…,1,"New Delhi, India"
1117900902159896579,RT JhaSanjay Dear ArvindKejriwal Ji Let ’ clean sweep Delhi together The defeat BJP crucial Delhi ’ independent…,1,Bangalore 
1.11784E+18,RT chitraSD Jogging RahulGandhi ’ memory family friend amp middleman OttavioQuattrocchi amp loot contracts Snamprogett…,0,
1.118E+18,Rahul two-day Kerala visit tonight give campaign last boost RahulGandhi RahulForBehtarBharat… https //t.co/BPs8PS0tyi,0,
1118039465371389953,Azam Khan used ugly words Jayaprada Though priyankagandhi SoniaGandhi Mayawati MamataOfficial they… https //t.co/hVK6XlJyPW,0,Bokaro
1118129088651120641,DMKAlliance RahulGandhi vote DMK congress RahulGandhi next PM,0,"Chennai, India"
1118067221995999232,RT maqbool_sm NYAY transformative idea decade Each every INCIndia worker coalition partners take it…,0,"Noida, India"
1117889293668610048,RT JhaSanjay Dear ArvindKejriwal Ji Let ’ clean sweep Delhi together The defeat BJP crucial Delhi ’ independent…,1,"Siliguri, West Bengal"
1117875025367822337,RT Raksha_Kumar Quick question Demonetisation successful political issue BJP Why n't going…,1,Everywhere
1.11798E+18,VH1 Tip TinyMajorMama We Hussle Entrepreneur inc,0,278 B.Q.
1.11774E+18,FOLLOW TOP INFLUENCER traviscchappell TRAVIS CHAPPELL SALES EXPERT ENTREPRENEUR AND PODCAST HOST… https //t.co/GOc6rZcxoW,1,"Atlanta, GA"
1118018117303709696,RahulGandhi Kerala Programme schedule RahulGandhi 2020Vision LokSabhaElection2019 RaGa Trivandrum https //t.co/d5dUQCDmv8,0,Kerala
1.11788E+18,RT INCGujarat WATCH LIVE CP RahulGandhi Congress leaders address public meeting Fatehpur Sikri UP NyayYatra PriyankaG…,1,
1117854378944126979,RT waglenikhil Ground reports first phase LS election make BJP jittery Advantage opposition In Suicide belt Vidarbha BJP w…,1,
1117970893202845696,RT JhaSanjay So BJP brought motherf ... ... er political lexicon How many TV channels prime -time TV how…,1,Bangalore
1.11776E+18,RT abpnewstv RahulGandhi questions source funding PM Modi 's LokSabhaElections campaign https //t.co/SP0kNCbPZc,0,"Florida, USA"
1.11785E+18,RT VakilBharati Ra_Bies You giving unnecessary Not-Worthy amp much attention idiots like RahulGandhi Scoundrels like Arv…,0,India
1.11796E+18,RT chitraSD Jogging RahulGandhi ’ memory family friend amp middleman OttavioQuattrocchi amp loot contracts Snamprogett…,0,"Mumbai, India"
1.11797E+18,RT rahulgandhi2020 `` A middle-class person pay crores rupees get good quality education The case health…,1,"Raipur, India"
1.11772E+18,RT RatanSharda55 So escape Amethi planned advance September 2018 Wow So RahulGandhi already scared 😊 smriti…,1,
1.11782E+18,Strong branding move needle ecommerce company inc https //t.co/3kdBe5A5M1 PBemp https //t.co/z48JVswNA7,1,"Farnborough, Hampshire, UK"
1.11778E+18,Door door campaigning Diu Congress INC Daman amp Diu Candidate Shri.Ketan Patel https //t.co/cKrLd4flWI,0,"Daman And Diu, India"
1.11783E+18,RT BengalNewz The SupremeCourt India Monday said Congress President RahulGandhi 's comment Supreme Court said Chowk…,0,
1117883059989180417,RT JhaSanjay Dear ArvindKejriwal Ji Let ’ clean sweep Delhi together The defeat BJP crucial Delhi ’ independent…,1,"Ulhasnagar, India"
